"Location","yrfac","buffer","year","forest_sum_ha","total","pct_buff"
"Odzala","1997","20",1997,125305.414916168,125628.342537418,99.7429500264612
"Odzala","1997","200",1997,11972190.1366045,12566262.9852498,95.272477988543
"Odzala","1997","300",1997,25976193.3767573,28269900.7811391,91.8863974014648
"Odzala","1997","50",1997,778625.984189534,785521.438690341,99.1221812465993
"Odzala","1998","100",1998,3071393.09932128,3141648.85268555,97.7637299183128
"Odzala","1998","20",1998,125305.414916168,125628.342537418,99.7429500264612
"Odzala","1998","200",1998,11955179.4492616,12566262.9852498,95.137110080336
"Odzala","1998","300",1998,25950302.17983,28269900.7811391,91.7948116646498
"Odzala","1998","50",1998,778625.984189534,785521.438690341,99.1221812465993
"Odzala","1999","100",1999,3064478.64907805,3141648.85268556,97.5436400684453
"Odzala","1999","20",1999,125305.414916168,125628.342537418,99.7429500264612
"Odzala","1999","200",1999,11928319.4694707,12566262.9852498,94.9233633218725
"Odzala","1999","300",1999,25922178.9831677,28269900.7811391,91.6953306056957
"Odzala","1999","50",1999,778322.052310711,785521.438690341,99.0834895109123
"Odzala","2000","100",2000,3058589.96892585,3141648.85268555,97.3562009105918
"Odzala","2000","20",2000,125286.419173741,125628.342537418,99.727829439782
"Odzala","2000","200",2000,11910169.0375822,12566262.9852498,94.7789255370688
"Odzala","2000","300",2000,25928969.9610851,28269900.7811391,91.7193525432681
"Odzala","2000","50",2000,778094.103401593,785521.438690341,99.0544707091469
"Odzala","2001","100",2001,3054049.98648591,3141648.85268555,97.2116913663105
"Odzala","2001","20",2001,125286.419173741,125628.342537418,99.727829439782
"Odzala","2001","200",2001,11899683.3877627,12566262.9852498,94.695482672378
"Odzala","2001","300",2001,25949789.2947845,28269900.7811391,91.7929974204136
"Odzala","2001","50",2001,777657.201325785,785521.438690341,98.9988513390967
"Odzala","2002","100",2002,3052511.33134937,3141648.85268555,97.1627153282908
"Odzala","2002","20",2002,125286.419173741,125628.342537418,99.727829439782
"Odzala","2002","200",2002,11893300.8183075,12566262.9852498,94.6446913634366
"Odzala","2002","300",2002,25943739.1508217,28269900.7811391,91.771596057849
"Odzala","2002","50",2002,777657.201325785,785521.438690341,98.9988513390967
"Odzala","2003","100",2003,3052511.33134937,3141648.85268556,97.1627153282903
"Odzala","2003","20",2003,125371.90001466,125628.342537418,99.7958720798364
"Odzala","2003","200",2003,11893139.3544968,12566262.9852498,94.643406464252
"Odzala","2003","300",2003,25949399.8820647,28269900.7811391,91.7916199386785
"Odzala","2003","50",2003,778065.609787955,785521.438690341,99.0508433589264
"Odzala","2004","100",2004,3052663.29728879,3141648.85268555,97.1675524678484
"Odzala","2004","20",2004,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2004","200",2004,11890081.0399661,12566262.9852498,94.6190689620505
"Odzala","2004","300",2004,25959201.6851568,28269900.7811391,91.8262921618602
"Odzala","2004","50",2004,778265.065083432,785521.438690341,99.0762348104709
"Odzala","2005","100",2005,3053176.1823343,3141648.85268555,97.1838778138549
"Odzala","2005","20",2005,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2005","200",2005,11890100.0357086,12566262.9852498,94.6192201266609
"Odzala","2005","300",2005,25958242.4001643,28269900.7811391,91.8228988531962
"Odzala","2005","50",2005,778350.545924351,785521.438690341,99.0871168611329
"Odzala","2006","100",2006,3053860.02906165,3141648.85268555,97.2056449418637
"Odzala","2006","20",2006,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2006","200",2006,11889292.7166555,12566262.9852498,94.6127956307382
"Odzala","2006","300",2006,25957055.1662626,28269900.7811391,91.8186992137604
"Odzala","2006","50",2006,778350.545924351,785521.438690341,99.0871168611329
"Odzala","2007","100",2007,3053850.53119044,3141648.85268556,97.2053426206412
"Odzala","2007","20",2007,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2007","200",2007,11886756.7850416,12566262.9852498,94.5926151553103
"Odzala","2007","300",2007,25958460.8512021,28269900.7811391,91.8236715868522
"Odzala","2007","50",2007,778350.545924351,785521.438690341,99.0871168611329
"Odzala","2008","100",2008,3054306.42900867,3141648.85268555,97.2198540393139
"Odzala","2008","20",2008,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2008","200",2008,11884306.3342685,12566262.9852498,94.5731149206271
"Odzala","2008","300",2008,25954357.7708381,28269900.7811391,91.8091576329624
"Odzala","2008","50",2008,778350.545924351,785521.438690341,99.0871168611329
"Odzala","2009","100",2009,3054505.88430415,3141648.85268556,97.2262027849829
"Odzala","2009","20",2009,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2009","200",2009,11881713.4154273,12566262.9852498,94.5524809513695
"Odzala","2009","300",2009,25952315.7285272,28269900.7811391,91.8019342531329
"Odzala","2009","50",2009,778350.545924351,785521.438690341,99.0871168611329
"Odzala","2010","100",2010,3054154.46306927,3141648.85268556,97.2150168997563
"Odzala","2010","20",2010,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2010","200",2010,11877068.9564041,12566262.9852498,94.5155212042378
"Odzala","2010","300",2010,25942124.5127154,28269900.7811391,91.7658845482162
"Odzala","2010","50",2010,778322.052310712,785521.438690341,99.0834895109123
"Odzala","2011","100",2011,3053318.6504025,3141648.85268556,97.1884126321898
"Odzala","2011","20",2011,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2011","200",2011,11867913.0085545,12566262.9852498,94.4426598622438
"Odzala","2011","300",2011,25927991.6803501,28269900.7811391,91.7158920403729
"Odzala","2011","50",2011,778293.558697072,785521.438690341,99.0798621606916
"Odzala","2012","100",2012,3052140.91437206,3141648.85268556,97.150924800619
"Odzala","2012","20",2012,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2012","200",2012,11838640.5694753,12566262.9852498,94.2097151983163
"Odzala","2012","300",2012,25889031.4126334,28269900.7811391,91.5780766726493
"Odzala","2012","50",2012,778293.558697072,785521.438690341,99.0798621606916
"Odzala","2013","100",2013,3052045.93565993,3141648.85268555,97.1479015883959
"Odzala","2013","20",2013,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2013","200",2013,11837272.8760206,12566262.9852498,94.1988313464004
"Odzala","2013","300",2013,25885830.6300346,28269900.7811391,91.5667544447304
"Odzala","2013","50",2013,778293.558697072,785521.438690341,99.0798621606916
"Odzala","2014","100",2014,3051960.454819,3141648.85268555,97.1451806973947
"Odzala","2014","20",2014,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2014","200",2014,11834024.6040656,12566262.9852498,94.1729821980991
"Odzala","2014","300",2014,25881015.2093294,28269900.7811391,91.5497207071789
"Odzala","2014","50",2014,778293.558697072,785521.438690341,99.0798621606916
"Odzala","2015","100",2015,3051960.454819,3141648.85268555,97.1451806973947
"Odzala","2015","20",2015,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2015","200",2015,11834024.6040656,12566262.9852498,94.1729821980991
"Odzala","2015","300",2015,25881015.2093294,28269900.7811391,91.5497207071789
"Odzala","2015","50",2015,778293.558697072,785521.438690341,99.0798621606916
"Odzala","2016","100",2016,3051476.06338713,3141648.85268555,97.129762315055
"Odzala","2016","20",2016,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2016","200",2016,11833312.2637246,12566262.9852498,94.1673135252263
"Odzala","2016","300",2016,25890304.127376,28269900.7811391,91.5825786861245
"Odzala","2016","50",2016,778293.558697072,785521.438690341,99.0798621606916
"Odzala","2017","100",2017,3052017.44204628,3141648.85268555,97.1469946247287
"Odzala","2017","20",2017,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2017","200",2017,11834262.050846,12566262.9852498,94.1748717557236
"Odzala","2017","300",2017,25892564.6207248,28269900.7811391,91.5905747996101
"Odzala","2017","50",2017,778312.554439498,785521.438690341,99.082280394172
"Odzala","2018","100",2018,3051276.60809165,3141648.85268556,97.1234135693855
"Odzala","2018","20",2018,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2018","200",2018,11832476.4510579,12566262.9852498,94.1606622823891
"Odzala","2018","300",2018,25889724.757232,28269900.7811391,91.5805292620797
"Odzala","2018","50",2018,778322.052310711,785521.438690341,99.0834895109122
"Odzala","2019","100",2019,3050212.84651578,3141648.85268556,97.0895535924831
"Odzala","2019","20",2019,125457.380855579,125628.342537418,99.8639147198908
"Odzala","2019","200",2019,11832523.9404139,12566262.9852498,94.1610401939135
"Odzala","2019","300",2019,25888214.5957091,28269900.7811391,91.5751873207173
"Odzala","2019","50",2019,778341.048053138,785521.438690341,99.0859077443928
